Text_arabic,Text_english,Label
السلام عليكم والله العظيم احاول التواصل ماعرف ليش ولا احد يرد علي من شهر موضوعي في دبي عند الاخت حصة اتصل على رقم المكتب محد يرد وايضاً الايميل ما ترد ارجو الرد بأسرع وقت لان عقب اسبوع اوراقي بتنتهي صلاحيتها وما اقدر اجدد الاوراق لان التأخير من عندكم,"Peace be upon you, and God is great. I am trying to communicate, I don't know why no one responds to me from a substantive month in Dubai at the sister Hessa. Call the office number. No one responds. Also, the email is not answered. Please reply as soon as possible.",Complaint
حاولت اكثر من مرة التواصل مع احد على الرقم الموجود ولكن للاسف مافي رد!!!,"I tried more than once to contact someone at the existing number, but unfortunately there was no response !!!",Complaint
"ابا تمويل من عندكم بس على دين من بنك ثاني
وانا ما استلمت شي من اسكان عندي مبلغ حق دفعة اولى ابا بيت في دبي","Aba finance from you, but on the debt of a second bank
I did not receive anything from my housing. I have the right to a down payment in Abu Bayt",
السلام عليكم نوره فهد عبدالله سعودية من ابناء المواطنات خريجة جامعة الشارقة قسم قانون اتمنى التقدم علي وظيفة اعيش بدبي,"Peace be upon you, Nurah Fahd Abdullah, Saudi Arabia, from the sons of female citizens, graduate of the University of Sharjah, Department of Law, I hope to apply for a job I live in Dubai",Miscellaneous
وين التنافسية اذا الفوائد 50%,Wayne competitive if benefits 50%,Miscellaneous
السلام عليكم كيف الحال انا عندي مشروع لأول مرة بالامارات والوطن العربي اكون هالشيء ويخدم المنازل بشكل رهيب هل تعطون قرض واتوقع ارباح بالملايين من المشروع كيف اتواصل معكم,"Peace be upon you, how are you? I have a project for the first time in the Emirates and the Arab world. I will be this thing and serve the homes terribly. Do you give a loan and I expect millions of profits from the project? How do I communicate with you",Inquiry
اتمني انكم تساعدونا نحن مقدمين فرع راس الخيمه من 3 شهور ماخرينا كل ساعه قالولنا نبا كشف حساب فوق 5 مرات ولين الحين ماردونا علينا ويوم نتواصل وياهم قالوا اصبروا من اسبوع لين 10 ايام لين ماكملنا 3 شهور ماشفنا شي ونتصل يطنشون ونحرق تلفون ولا يردون واذا ردوا قالوا الموظفه مب موجوده والمقاول يبا خلص لان اسعار البناء يرتفع ماتم ثابته اتمني انكم تساعدوني,"I hope that you help us, we are presenting the Ras Al-Khaimah branch from 3 months, we spent every hour, we told us a report of the account over 5 times, and from then on we passed and on the day we communicate. The employee does not exist, and the contractor found that the building prices are rising, what is fixed, I hope you help me",Miscellaneous
حاولت اكثر من مرة التواصل مع احد على الرقم الموجود ولكن للاسف مافي رد!!!,"I tried more than once to contact someone at the existing number, but unfortunately there was no response !!!",Complaint
اتصلوا بي لو سمحتوا عندي استفسار,Please contact me if I have an inquiry,Inquiry
"السلام عليكم اتصل كم المرة ما حد يرد علي
موضوع عنده اخ احمد اتمنى التواصل واتساب","Peace be upon you, call how many times does someone reply to me
Subject has brother Ahmed I hope to communicate WhatsApp",
ولا الرقم المجاني حد يرد شو الحل,Nor does the toll-free number provide any solution,Complaint
سلام عليكم ممكن استفسار عن طريقة التقديم لطلب وظيفة واذا في ايميل للموارد البشرية لارسال السيرة الذاتية,Peace be upon you. Can you inquire about the way to apply for a job and if you have an e-mail for human resources to send a CV,Inquiry
الصراحة أقل فوائد بس الأوراق الي يطلوبنها يبيلها سنة لين تخلص,"Honesty is the least benefit, but the papers that you need will show it a year to get rid",Miscellaneous
هل تقدرون تدفعون قرضي وانا مستعد ادفع المبلغ الي تبونه,"Can you pay my loan, and I am willing to pay it?",Inquiry
شركة مقاولات تمولون؟,Financing contracting company?,Miscellaneous
"ابا تمويل من عندكم بس على دين من بنك ثاني
وانا ما استلمت شي من اسكان عندي مبلغ حق دفعة اولى ابا بيت في دبي","Aba finance from you, but on the debt of a second bank
I did not receive anything from my housing. I have the right to a down payment in Abu Bayt",
انا مقدم من شهرين لا احد اتواصل وياي ولا شيء وبيت واقف من متى مفروض من الموظفين بأنهم يبلغونا بأنه موافقه نهائيه يبالنا 4 ولا 6 شهور ما يقولون ما عليكم بس شهر ولا شهرين تيي موافقة واخر شي انت متغربلين اذا مصرف ما عنده ميزانيه لصرف مبلغ اتمنى الغاء مصرف وشكراً,"I am two months in advance, no one is in contact with me, nothing, and I am standing from when the employees are obligated to inform us that it is final approval. 4 or 6 months do not tell us what they say, but one month or two months, it is okay, and another thing. Bank, thank you",Miscellaneous
محد تواصل وياي؟,Someone connect to yay?,Miscellaneous
المشكلة المتقاعدين ما يشملهم القرارات فقط 30% تمنع التمتع بالقروض للمتقاعدين,"The problem of retirees, who are only covered by decisions, is 30%, preventing loans from being retired",Miscellaneous
ماحد يرد ارجو الاتصال بي,Anyone reply please contact me,Inquiry
يرجى التواصل,Please communicate,Miscellaneous
شي مندوب ولا,Shi delegate and no,Miscellaneous
"السلام عليكم ورحمه الله وبركاته
يرجى التواصل لطفاً","Peace, mercy and blessings of God
Kindly contact us",
محد تواصل معاي لليوم,Mahdi continues with me for today,Miscellaneous
مسويين دعايات في كل وسائل التواصل الاجتماعي من متى متقدمين ونتصل ولا احد يرد وكل الكومنتات تشتكي أن محد يرد شو الهدف من الدعايات ؟,"Leveling advertisements in all social media, from when did they come forward and contact and no one responds and all the communes complain that someone responds to the goal of the advertisements?",Miscellaneous
السلام عليكم هل تمولون مشروع الدار اللي في ويست ياس (الفلل)؟,Peace be upon you. Do you finance the Al Dar project in West Yas (villas)?,Inquiry
رقم التواصل خالد,Khalid's contact number,Miscellaneous
أكثر من 3 مرات اتصل فيكم ومافي رد مقنع للأسف,More than 3 times he called in you and there was no convincing response unfortunately,Complaint
لا في الافرع يردون ولا الرقم المجاني يردون والحل والموظفين في الفرع كل ما نسيرلهم مب موجودين والحل,"Neither in the branches they reply nor the toll-free number they answer and the solution and the employees in the branch are all we send them, they are available and the solution",Complaint
عندي مشاريع مختلفة ف يالعقار بحاجة ل50 مليون في مجال للتمويل,I have various projects in the real estate that need 50 million in the field of financing,Inquiry
كلمني في الخاص,Speak to me in private,Complaint
"ما يستوي اعفائك من القسط لا من زمان المس تتفع وبعدين مش مثل يعني قول الحمدلله
انا اريد كيف","It does not equal your exemption from the installment, not from the time of the touch, you will benefit and then do not like saying praise be to God
I want how",
يرجى مراجعة طلبي والرد لا احد يرد,Please review my application and reply no one responds,Complaint
كلام فاضي ولا حد تواصل معاي,Free talk and no one continues with me,Miscellaneous
عندي مشاريع مختلفة ف يالعقار بحاجة ل50 مليون في مجال للتمويل,I have various projects in the real estate that need 50 million in the field of financing,Inquiry
خدمت الاتصال مش متعاونين وفرع ابوظبي مش متعاون يبالهم وقت لين يردون عليك بسؤال,"I contacted the network, not cooperating, and the Abu Dhabi branch did not cooperate",Complaint
هل يمكنني الحصول على تمويل سكن خاص او تمويل بناية او صناعية,Can I get private housing financing or building or industrial financing?,Inquiry
للتواصل معي 0504335111,To contact me 0504335111,Miscellaneous
أكثر من 3 مرات اتصل فيكم ومافي رد مقنع للأسف,More than 3 times he called in you and there was no convincing response unfortunately,Complaint
يرجى التكرم بالاتصال في 0521283132,Please kindly call at 0521283132,Inquiry
السلام عليكم أود معرفة تفاصيل البنك وكيفية اجراءات تقديم,"Hello, I would like to know the bank details and how to apply",Inquiry
انا صارلي 3 ايام اتصل فيهم محد يرد ابدا وكلمت الشخص الي قدمت اوراقي له عشان الموافقة المبدئية الي تحتاج بس 20 يوم وصار لها 26 يوم يقولي اجراءتنا أطول,"I have been there for 3 days. Someone called them, he never responds, and I talked to the person who presented my papers to him, because the initial approval that you need is only 20 days, and it has 26 days.",Complaint
ارض منح لانه بعض البنوك ترفض,Land granted because some banks refuse,Miscellaneous
محد يرد على الاتصال اذا جيه من اولها كيف عقب,"Mohd responds to the call if J is one of the first, how does he comment?",Miscellaneous
ارجو الرد,please reply,Miscellaneous
ممكن تتواصلون معاي,Can you contact me?,Miscellaneous
"السلام عليكم ورحمة الله وبركاته
ارجو التواصل 
0504611103","Peace, mercy and blessings of God
Please communicate
0504611103",
نحاول نتواصل معاكم وماشي رد والموظف يقفل الخط بويهنا يرجى التواصل للضرورة,"We try to communicate with you and walk back and the employee hangs up here, please contact us if necessary",Complaint
هل تقدمون تمويل لمشروع مطعم او حلاق متنقل,Do you provide financing for a mobile restaurant or barber project?,Inquiry
هلا السلام عليكم لم يتم التواصل معي حتى الآن,"Hello Hello, I have not been contacted yet",Complaint
هل تقدمون تمويل لمشروع مطعم او حلاق متنقل,Do you provide financing for a mobile restaurant or barber project?,Inquiry
ارجو التواصل,Please communicate,Miscellaneous
"السلام عليكم هل المصرف عنده فلل جاهزة بحيث المواطن يشتري ويكون التمويل من البنك
أفيدونا جزاكم الله خير
اي من المصرف نفسه  ","Peace be upon you. Does the bank have ready villas so that the citizen buys and the financing is from the bank?
Please advise us. May God's goodness
Any of the bank itself",
"يقدم قروض ولاكن لا يقدم خدمة عملاء ترد على الهاتف كيف نضمن حقوقنا اذا ابسط الامور لا توفرونها اذا محتاجين موظفين للرد على المكالمات اعلنوا فحسابكم عن فرص عمل
نتمنى توحيد الجهود في الرد على الهاتف فقط ومن ثم النظر في تعزيز قروض الموواطنين وصلناعام 2018 ولايوجد خدمة تواصل حتى ولو عن طريق حمام الزاجل بنتواصل وياكم ما عندنا مشكلة","Provides loans but does not provide customer service that is answered on the phone How do we guarantee our rights if the simplest things do not provide them if they need employees to answer calls Advertise your account for job opportunities
We hope to unite efforts in answering the phone only and then consider strengthening the loans of citizens and Sweden 2018. There is no communication service even if through the passenger pigeon we communicate and you do not have a problem",
السلام عليكم اذا ممكن حد يتواصل معاي,"Peace be upon you, if someone can communicate with me",Inquiry
"السلام عليكم
عملنا طلب على الهاتف ولم يرد علينا احد ولم يتم الاتصال بنا","Hi
We made a request on the phone, no one answered us, and we were not contacted",
اذا محتاجين موظفين للبداله انا بدوام عندكم,"If you need staff for a maid, I am yours",Miscellaneous
ممكن حد يتواصل وياي؟؟؟ لاني اتصل ومحد يرد انا ما بوصل لين دبي عشان سؤال بس ارجو التواصل,"Can someone communicate with me ??? Because I called and no one answered, I did not connect Lin Dubai, so I have a question, but please communicate",Complaint
"إالسلام عليكم
الى الان لم يتم التواصل معاي","Peace be upon you
Until now, I have not been contacted",
السلام عليكم كيف الاجراءات حق تمويل القروض او اذا كنت ابي اشتري سيارة عن طريق البنك ممكن تفيدوني وشكراً,"Peace be upon you, how are the procedures for the right to finance loans, or if I wish to buy a car through the bank, can you please help me and thank you",Inquiry
اتصلت محد يرد,I called Mohd,Miscellaneous
أرجو مراعاة المواطنين أصحاب للقروض السكنية وتأجيل القسط أثناء الأعياد على الأقل تكون ها مبادره عام زايد الخير وتسعدوا عملائكم,"Please consider the citizens who hold housing loans and postpone the installments during the holidays. At least, this will be a good initiative in Zayed and help your customers.",Inquiry
متوفر بأنواعه,Available in all kinds,Miscellaneous
السلام عليكم احاول اتصل فيكم مافي حد يرد,"Peace be upon you, I try to contact you with no response",Complaint
السلام عليكم اخواني تقدرون تشترون مديونيه,"Peace be upon you, my brothers, do you buy debts?",Inquiry
قدمنا اسبوعين عالموقع ومحد عبرنا الله كريم,"We presented two weeks, a signed and united, through which God is generous",Miscellaneous
"السلام عليكم
رجاء تواصل معي ع هذا الرقم 0528402690","Hi
Please contact me on this number 0528402690",Inquiry
"المصرف إجراءاته تأخذوقت جدا طويل ويوم نحاول نتصل كحد يرد على تحويلته اتصل على الرقم المجاني يردون لكن بلا فايده لانه مستحيل يرجعون يتصلون فيك المفروض يقدم المصرف تسهيلات للمواطنين وبالتالي تقليل الوقت والاجراءات عشان المواطن يتشجع يقدم للمصرف بدل البنك الربوي
عندي شكوى على المصرف واتصلت اطلب مقابلة اخد المسؤولين وللاسف من أسبوع ومحد كلمني","The bank has a very long process, and on the day we try to contact as someone responds to its transfer, call the toll-free number but they do not benefit it, because it is impossible to come back to you.
I have a complaint about the bank and I called to ask to take the officials. Unfortunately, a week and a week, talk to me",Complaint
السلام عليكم انا عندي قرض 500 الف من زايد للاسكان والحين ببدا ادفع لمشروع بينخصم مبلغ من الراتب هل في مجال بعد اقدم واخذ مبلغ وكمل الطابق الثاني وهل في فايده على المبلغ الرجاء التواصل وإذا بسوي مشروع ماهي طريقة المويل وماهي الضمانات المطلوبة,"Peace be upon you. I have a loan of 500,000 from Zayed Housing, and when I started, I would pay a project to deduct an amount from the salary. Is it in the field after I apply and take an amount and complete the second floor? Is it in his interest for the amount, please communicate?",Inquiry
قدمت الطلب اونلاين واستلمت رسالة تاريخ 21/1 ولين اليوم اتريا الاتصال,"I submitted the application online and received a message dated January 21, today atria call",Complaint
إجراءات معقدة ونسبة ربح عالية,Complex procedures and a high profit rate,Complaint
هل القروض اسلاميه ام ربويه,Are the loans Islamic or usurious?,Inquiry
ممكن التواصل,Possible to communicate,Inquiry
يرجى التواصل للأهمية,Please communicate for importance,Inquiry
اريد قرض اشتري سياره,I want a loan to buy a car,Inquiry
السلام عليكم ممكن اتواصل معي احمد الكعبي معاك,"Peace be upon you, can I contact Ahmed Al Kaabi with you?",Inquiry
اللحين معقولة تخلون شخص يحط رقمه الخاص في مكان عام كالتواصل الاجتماعي يجعله عرض لشتى أنواع المضايقات وعرضة لأي عملية احتيال,"Al-Lahin makes it reasonable to leave a person who puts his private number in a public place, such as social communication, making him a display of various kinds of harassment and subject to any fraud.",Complaint
اتمنى تفعيل نظان الرائل الخاصة عند طلب الرقم,I hope to activate the special Rael system when calling the number,Inquiry
كيف نظام القروض الإسلاميه,How is the Islamic loan system,Inquiry
السلام عغليكم شو اقصى مبلغ لتمويل مشروع,Peace be upon you. What is the maximum amount of financing a project?,Inquiry
"السلام عليكم للاسف الاجراءات طويلة جدا اخذت المعامله اكقر من شعرين ولا احد من مستجيب لنا
نتصل محد يرد نقدم استفسار محد يتواصل؟؟؟
اتمنى مراجعة الاجراءات وتسهيل اعتمادات القروض هل يعقل ان تتجاوز المعامله شهرين ولم تنجز بعد؟ أين المسرعات الحكومية عنكم؟","Peace be upon you. Unfortunately, the procedures are very long. The treatment took more than two hairs, and none of us responded
We are in contact with someone who wants to provide a specific inquiries.
I hope to review the procedures and facilitate loan credits. Is it possible that the transaction exceeded two months and has not been completed yet? Where are government accelerators for you?",Complaint
ارجو الاتصال مافي حد يرد,Please call as long as no reply,Inquiry
ممكن حد يتصل فيني اليوم لو سمحت انا في الانتظار,"Can someone call me today, please wait?",Inquiry
صدقت وانا من شهر ولا احد يرد,I believed a month ago and no one answered,Complaint
يخوان انا مقدم على طلب بس مرديتي عليه,"Brother, I am applying for a request, but I wanted to do it",Miscellaneous
