Text,Label
Hi your services are pathetic and i dont want to have any connnection with edb nowonwards     Thanks 971512345678,complaint
HI  I need my passbook details  my account number is : 9715960000 Contact : 0589895623 Also i want from Date 15/12/2019 to 23/12/2019  Also please provide me insurance policy details  Policy number: 5898989897    r2,inquiry
"---------- Forwarded message --------- From: Sunita Mandal <sunita.mandal701@gmail.com> Date: Mon, Dec 23, 2019 at 2:42 PM Subject: To: <digitalsensingbank@gmail.com>   ????? ??? ?????? ????? ?? ??? ?????? ??? ??? ?????? ?? ??? 2019. ????? ??? ??????? - 971563214753",miscellaneous
"Hey,  Account number: 25522222236 Contact number: 05685959685 Insurance policy check",inquiry
Hi   Policy number 000000002 contact 0585858588,miscellaneous
I need a home loan,inquiry
i need loans,inquiry
Test test test test test,miscellaneous
Test test test test test,miscellaneous
Test test test test test,miscellaneous
Test test test test test,miscellaneous
I need a home loan,inquiry
Please tell me my loan details which i have availed last week,inquiry
??????????????,miscellaneous
i need loans,inquiry
Hey need Car and Home Loan,inquiry
Hi...Need Home Loan...,inquiry
"Hi Mark, Can you tell me about abu dabi housing loan. My contact number is 586214753. Thanks",inquiry
I don't like your services. You need to improve,complaint
Test test test test test,miscellaneous
Test test test test test,miscellaneous
hi,miscellaneous
???,miscellaneous
hey,miscellaneous
can you help me with the SHZP program.,inquiry
"Hey, can you let me know the process of availing Home Loan?",inquiry
hello,miscellaneous
help me please,inquiry
helllllllllllllllllllllllooooooooooooo,miscellaneous
hiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,miscellaneous
I dont knw i need a loan,complaint
Need a credit card. Can you provide me the steps to apply for the same.,inquiry
1.23599E+17,miscellaneous
Nice post,miscellaneous
Hi I need loan,inquiry
test1,miscellaneous
I need this,inquiry
I need this,inquiry
"Hey Admin, Great work.",compliment
I need this,miscellaneous
lalallalallalala,miscellaneous
services are really bad. I need someone to look upon my issues asap.,complaint
Give me details about letter of guarntee,inquiry
I need a home loan,inquiry
Hiiiiiiiiii,miscellaneous
I need a home loan,inquiry
Give me details about letter of guarntee,inquiry
Thank you so much for the quick response!! Much appreciated,compliment
"Agreed, Amazing work",compliment
Thanks for the response!! Keep it up,compliment
I need a business finance loan,inquiry
what is SHZP?,inquiry
I want to know about Any dabi housing plan,inquiry
971575345817,miscellaneous
"Heyyyyyyy,",miscellaneous
heuwefhkje,miscellaneous
Provide the loan details,inquiry
loanloans lona,miscellaneous
hello I have issue with loan services of EDB bank,complaint
loan loan required,inquiry
loan required urgent,inquiry
I was trying to know about the loans since days ..please lmme know about that now!!!,complaint
hey there?,miscellaneous
Yay,miscellaneous
1 1 about loans,complaint
971542321000,miscellaneous
I'm interested in sheikh zayad housing loan. send me the details.,inquiry
help me with sharjah DH,inquiry
need to know about Insurance plans,inquiry
Required Loan,inquiry
Need a loan. what all are steps to apply for it,inquiry
tell me more about the products?,inquiry
hi I need a loan. my number is - 971156081819,inquiry
Very Good services. Thank you Bank,compliment
help me with the documents which are required for loan. My number is 971156081819,inquiry
complaining complaining complaining complaining complaining complaining for insurancecomplaining complaining complaining complaining complaining complaining for insurancecomplaining complaining complaining complaining complaining complaining for insurancecomplaining complaining complaining complaining complaining complaining for insurancecomplaining complaining complaining complaining complaining complaining for insurancecomplaining complaining complaining complaining complaining complaining for insurance,complaint
Lalalalalalalalalalalallala,miscellaneous
Required Loan,inquiry
loan are required,inquiry
need to know about Insurance plans,inquiry
Test test test test test,miscellaneous
Test test test test test,miscellaneous
Please tell me my loan details which i have availed last week,inquiry
Provide the loan details,inquiry
I need a home loan,inquiry
I was trying to know about the loans since days ..please lmme know about that now!!!,complaint
loan required urgent,inquiry
loanloans lona,miscellaneous
??????????????,miscellaneous
1 1 about loans,complaint
i need loans,inquiry
hello I have issue with loan services of EDB bank,complaint
loan loan required,inquiry
I'm interested in sheikh zayad housing loan. send me the details.,inquiry
help me with sharjah DH,inquiry
Need a loan. what all are steps to apply for it,inquiry
???? ??? ????? ?????. ????? ??? ????? ???. ??? ??????? ?? 971142493783,miscellaneous
help me with the documents which are required for loan. My number is 971156081819,inquiry
Very Good services. Thank you Bank,compliment
hey,miscellaneous
what is SHZP?,inquiry
heuwefhkje,miscellaneous
hey there?,miscellaneous
Yay,miscellaneous
971542321000,miscellaneous
hi I need a loan. my number is - 971156081819,inquiry
hey,miscellaneous
me too have a 0,inquiry
tell me,inquiry
contact -971532146548,miscellaneous
971521441796,miscellaneous
I need this,miscellaneous
"Hey Admin, Great work.",compliment
lalallalallalala,miscellaneous
services are really bad. I need someone to look upon my issues asap.,complaint
Give me details about letter of guarntee,inquiry
I need a home loan,inquiry
Thank you so much for the quick response!! Much appreciated,compliment
I need a business finance loan,inquiry
ewfdwef,miscellaneous
Hi...Need Home Loan...,inquiry
Hey need Car and Home Loan,inquiry
"Hi Mark, Can you tell me about abu dabi housing loan. My contact number is 586214753. Thanks",inquiry
Hiiiiiiiiii,miscellaneous
"Hey, can you let me know the process of availing Home Loan?",inquiry
can you help me with the SHZP program.,inquiry
hey,miscellaneous
???,miscellaneous
hi,miscellaneous
test1,miscellaneous
Hi I need loan,inquiry
Nice post,miscellaneous
1.23599E+17,miscellaneous
Need a credit card. Can you provide me the steps to apply for the same.,inquiry
I dont knw i need a loan,complaint
hiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,miscellaneous
helllllllllllllllllllllllooooooooooooo,miscellaneous
help me please,inquiry
hello,miscellaneous
hey,miscellaneous
hey,miscellaneous
ewfdwef,miscellaneous
loan are required,inquiry
need information what all required documents to apply for housing loan,inquiry
hey  I have 0 about what all documents are required to apply housing loan.  Thanks,inquiry
971542165421,miscellaneous
Loan loan is required,inquiry
fniwfbwuiefjsd v679812e,miscellaneous
thankyou for such fast resolution.,compliment
great work done,compliment
lalallalalal,miscellaneous
Please refund my insurance policy amount   my contact number is  : 971568546874,inquiry
your done,miscellaneous
Stop commenting now. This offer has expired. Will come up with new exciting offers soon. Till now B- Bye,miscellaneous
waiting for new offer,inquiry
send me some loan plans,inquiry
971521478963,miscellaneous
532101789,miscellaneous
I need a home loan. My mobile number is  971591044985,inquiry
Could you please help me in applying for a home loan?,inquiry
"Hey,  can you please help me in applying for a home loan.  My mobile no I'd",inquiry
I do not want a home loan. Stop sending me mails for the same.,complaint
Hello i need to know about the loans,inquiry
thank you for your services,compliment
can you help me with the loan process,inquiry
can you help me with the loan process,inquiry
I'm interested in sheikh zayad housing loan. send me the details.,inquiry
help me with sharjah DH,inquiry
Need a loan. what all are steps to apply for it,inquiry
help me with the documents which are required for loan. My number is 971156081819,inquiry
Very Good services. Thank you Bank,compliment
hey,miscellaneous
need information what all required documents to apply for housing loan,inquiry
great work done,compliment
lalallalalal,miscellaneous
Stop commenting now. This offer has expired. Will come up with new exciting offers soon. Till now B- Bye,complaint
what is SHZP?,inquiry
heuwefhkje,miscellaneous
hey there?,miscellaneous
Yay,miscellaneous
hi I need a loan. my number is - 971156081819,inquiry
hey,miscellaneous
I need this,miscellaneous
"Hey Admin, Great work.",compliment
lalallalallalala,miscellaneous
services are really bad. I need someone to look upon my issues asap.,complaint
Give me details about letter of guarntee,inquiry
I need a home loan,inquiry
Thank you so much for the quick response!! Much appreciated,compliment
I need a business finance loan,inquiry
ewfdwef,miscellaneous
your done,miscellaneous
Hi...Need Home Loan...,inquiry
Hey need Car and Home Loan,inquiry
"Hi Mark, Can you tell me about abu dabi housing loan. My contact number is 586214753. Thanks",inquiry
Hiiiiiiiiii,miscellaneous
"Hey, can you let me know the process of availing Home Loan?",inquiry
can you help me with the SHZP program.,inquiry
hey,miscellaneous
hi,miscellaneous
test1,miscellaneous
Hi I need loan,inquiry
Nice post,miscellaneous
1.23599E+17,miscellaneous
Need a credit card. Can you provide me the steps to apply for the same.,inquiry
I dont knw i need a loan,complaint
hiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,miscellaneous
helllllllllllllllllllllllooooooooooooo,miscellaneous
help me please,miscellaneous
hello,miscellaneous
Could you please help me in applying for a home loan?,inquiry
"Hey,  can you please help me in applying for a home loan.  My mobile no I'd",inquiry
Hiiiii Need Home Loan.,inquiry
Hi num is 971512345678,miscellaneous
Need a loan Asap,inquiry
????? ??? ?????? 0501304567,compliment
Loan Needed Contact me on 971567890543,inquiry
I need a home loan. My mobile number is 0501302345,inquiry
"Hi, How to apply for a home loan in emirates development bank?",inquiry
Thank you so much for the quick response!!!,compliment
Me too never recommend this bank to anyone.,complaint
971526585617,miscellaneous
REQUIRED HOME LOAN,inquiry
NEED HOME CAR LOAN,inquiry
@BankOfNewgen Sample post,miscellaneous
@BankOfNewgen How to apply for SZHP?,inquiry
@BankOfNewgen I want a home loan please let me know the process,inquiry
@BankOfNewgen  I need to avail a loan to enhance my business. What is the scheme provided for business finance loans by your bank?,inquiry
Need help for one of my friend for loan process,inquiry
NEED HOME LOAN,inquiry
Need HOME LoAn.,inquiry
NEED Credit card,inquiry
NEEd CrEdIt CaRd,inquiry
Need Credit Card and Loan too,inquiry
"Your 0 has been received and the relevant department will do the necessary work. Please do not hesitate to contact usWI-0000003349-EDB. Please share your mobile number via private messages, please do not reply to this.",miscellaneous
Dear EDB's Customer Service Team  I want to apply for a home loan.  Thanks XYZ,inquiry
Me too never recommend this to anyone,complaint
"Your 0 has been received and the relevant department will do the necessary work. Please do not hesitate to contact usWI-0000003353-EDB. Please share your mobile number via private messages, please do not reply to this.",miscellaneous
971543567876,miscellaneous
Thank you so much for the quick response!!,compliment
"Hi bank,  I need to avail a home loan from your bank. kindly guide me through the scheme , the process and the documents that are required for the same.  You may contact me on  971501302345.  Thanks & Regards Lisa West",inquiry
need loan and what documents are required,inquiry
Me too need a loan,inquiry
HOGHERTIJNBDFKNVBIGUIERB,miscellaneous
requirement,miscellaneous
hey i want loans,inquiry
Hello EDB i requires a loan,inquiry
loan loan loan required,inquiry
Hiiiiii 987807444465465,miscellaneous
required loan loan,inquiry
Customer are very disturbed with your services,complaint
Thank you so much for the quick response!!!,compliment
helloooo,miscellaneous
hellloooooo hhh,miscellaneous
I want loannnnnnnnn,miscellaneous
Can you please give me some details for this loan product?,inquiry
Please tell me about this loan product,inquiry
@BankofNg hello tell me about the loan,inquiry
Loan information please,inquiry
Loan details again please,inquiry
Please give me loan details  Thanks,inquiry
@BankofNg Please let me know about the loan policies and procedures,inquiry
Is there any new loan schemes for business purpose?,inquiry
Please send me your new life insurance policy details,inquiry
@bankofng loan loan loan?,miscellaneous
@lisawest009 Please do not hesitate to contact us WI-0000003391-EDB. Your 0 has been received and the relevant department will do the necessary work.Please do not reply to this message.,miscellaneous
@BankofNg @lisawest009 Please tell me loan procedures,inquiry
loan loan give me loan. Number 971501813413,inquiry
need home loan,inquiry
Need to know the policies as well. My number is 971543254378,inquiry
"Need loan, can you send me the details asap",inquiry
5114536312,miscellaneous
Hahahahhahaa,miscellaneous
5848548485485,miscellaneous
Need a loan. My number is this 9715678900643,inquiry
Need a loan. My number is this 9715678900645,inquiry
@BankofNG thanks for your quality service,compliment
@BankofNg insurance policies,miscellaneous
"Hey,  Do you have any business loan schemes for entrepreneurs.  Thanks",inquiry
@BankofNg What is SHZP?,inquiry
@BankofNg new home loan schemes are required  971526286699,inquiry
@BankofNg @lisawest009 i need a home loan tell me about it,inquiry
need a home loan please tell about that,inquiry
"I need transcations details as well  On Tue, 14 Jan 2020 at 12:30 PM, Sunita Mandal <sunita.mandal701@gmail.com> wrote:  > Thank you for your response. > My number is 971504866011 > > On Tue, Jan 14, 2020 at 12:30 PM <digitalsensingbank@gmail.com> wrote: > >> Hello, >> >> Please share your mobile number for tracking purposes. >> >> Kind regards, >> >> Emirates Development Bank >> >",compliment
@BankofNg 971589674695,miscellaneous
@Shambhavi4128 @BankofNg dont tweet on my account,complaint
@lisawest009 @BankofNg okay sry,miscellaneous
@BankofNg @lisawest009 i need a home loan tell me about it,inquiry
@Shambhavi4128 @BankofNg dont tweet on my account,complaint
@BankofNg  what is SME can you please help me to under stand that?????,inquiry
The economic and banking importance of the small and medium enterprise (SME) sector is well recognized in academic @BankofNg  and policy literature.,compliment
lalalallalalalalalalalalaofjergbev bkjwefhv @BankofNg,miscellaneous
SUP?,miscellaneous
@BankofNg 971548485555,miscellaneous
56412ewgtw4 erft5rg,miscellaneous
Please share the customer service contact number you want to know about my insurance policy,inquiry
loan loan loan loan loan required,inquiry
what is sme i want to kn ow about it,inquiry
insurance policies need to understand,inquiry
need to insurance policies,inquiry
eyeyyeeyyeyeyeyeyeyyeye,miscellaneous
help with the loan procedure my contact numver is  :971627175021,inquiry
@BankofNg help me with the new home loan documents,inquiry
help with the docs 971595595955,inquiry
@BankofNg need to refund my insurance policy amount which is unusable,inquiry
loan de do\,inquiry
Tell more about loan schemes?,inquiry
need loan,inquiry
loan process require entire one week process or not?,inquiry
hjdjaewrvget,miscellaneous
loan needed,inquiry
@BankofNg Thank you for your support and best services i would like to ask for my discount coupon for insurance my number: 971563489752,compliment
"Hi  I need to avail a home loan from your bank. kindly guide me through the scheme , the process and the documents that are required for the same.  You may contact me on  971501302345.  Thanks & Regards",inquiry
@BankofNg  pathetic services,complaint
@BankofNg ?????????????????,miscellaneous
Pathetic services,complaint
Thank you for your response,compliment
"Hi  I need to avail a home loan from your bank. kindly guide me through the scheme , the process and the documents that are required for the same.  You may contact me on  971501302345.  Thanks & Regards",inquiry
Query related to interest rate,inquiry
Query related to interest rate  related to interest rate,inquiry
pathetic services tell me the refund status :971543265956?????,complaint
Need Home Loan,inquiry
Need Credit Card,inquiry
971556781234,miscellaneous
@BankofNg need a credit card,inquiry
I have a home loan in process already but I am looking for a business loan as well. Can I know my eligibility for loans,inquiry
Need Home Loan,inquiry
"i want to open the account, contact : 971585869545 !!!!!!",inquiry
Need CAR LOAN,inquiry
I need a home loan,inquiry
I have a home loan in process already but I am looking for a business loan as well. Can I know my eligibility for loans,inquiry
971544845446,miscellaneous
Looking for loan schemes. My number is 971586984759,inquiry
Looking for loan schemes. My number is 971586984759,inquiry
@BankofNg 971544464464,miscellaneous
@BankofNg 971444646584,miscellaneous
Need Home LOAN please,inquiry
Need LOAN please,inquiry
I would be very happy to if you contact me for the investment purpose 971574484896,inquiry
lalalalallalala,miscellaneous
Require credit card,inquiry
Need HOME LOAN,inquiry
NEED Credit Card,inquiry
Need Credit CARD,inquiry
need house LOAN,inquiry
Need house loan,inquiry
great services !!,compliment
need a home loan @@@@@@@@@@,inquiry
@BankofNg Direct contact for home loan 971555555569,inquiry
need to know more about abu dabi housing programme,inquiry
intersted please let me know the process 971543336558,inquiry
Contact me  : 971522236545,miscellaneous
Thank you so much for the quick response!!,compliment
"Hi EDB Team,  I need to avail a home loan from your bank. kindly guide me through the scheme , the process and the documents that are required for the same.  You may contact me on  971501302345.  Thanks & Regards Lisa West",inquiry
"Hi EDB Team,  I need to avail a home loan from your bank. kindly guide me through the scheme , the process and the documents that are required for the same.  You may contact me on  971501302345.  Thanks & Regards Customer 1",inquiry
"Hi  Could you please schedule the meeting for Monday  Thanks & Regards Shambhavi Pandey  On Fri, Jan 17, 2020 at 1:27 PM <digitalsensingbank@gmail.com> wrote:  > Dear Lisa West  , > > Please do not hesitate to contact us WI-0000003490-EDB. Your 0 has > been received and the relevant department will do the necessary work. > > Thanks with my regards > Nick Emirates Development > > Disclaimer: This is a response generated by the system. Please do not > reply to this mail. >",miscellaneous
Need a credit card ?!!!!!!!!!!!!!!!!!!!!,inquiry
loan loan loan,inquiry
ole ole ole,miscellaneous
971567853654,miscellaneous
971512345678,miscellaneous
hey i would like to ask that i have applied this offer but didnt received any banefit,inquiry
Is EDB bank going to be shut down ?,inquiry
Thanks for the update,compliment
@BankofNg Hi i need home loan,inquiry
@BankofNg Hi i need home loan,inquiry
@BankofNg Please send me the interest rates details,inquiry
"@BankofNg @BankofNg Thank you for your reply for my previous tweet, Please let me know the loan documents details",inquiry
@BankofNg Such a pathetic services you guys are providing!!!!! ??????? Refund my insunce refund,complaint
Hi,miscellaneous
@BankofNg Hey i am interested in the loan please provide the details,inquiry
@BankofNg sorry for not uploading the documents ontime !! I need home loan urgent,inquiry
@BankofNg lalalalalallaallaala,miscellaneous
Please provide details for home loan  Thanks,inquiry
"@BankofNg I need for my family (my child, my mother, my father, my wife, my younger brother, my sister and for my nephew, my niece ????? ??????? (???? ? ??? ? ??? ? ????? ? ??? ?????? ? ???? ???????? ???? ??? ? ???? ???",inquiry
@BankofNg @lisawest009 tell about the same !!!!!!!,inquiry
I need Home Loan.,inquiry
@BankofNg this bank is a fraud and people are getting frustrated with their services and me and my team wish that it closes soon..,complaint
I need Credit Card,inquiry
@BankofNg @lisawest009 also my contact number is : 971500000000,miscellaneous
"@BankofNg @lisawest009 i too hate this bank, and services",complaint
I need House LOAN.,inquiry
"@BankofNg @lisawest009 I too hate this bank Please share your contact number, in reply to this message or through private messages =971222222131",complaint
Hi i need loan,inquiry
hiii i am exisiting and connected with your bank since long and 971523232323,inquiry
its a 1 that i am really frustrated with your serivices but still i want to know about insurance policy plans to continue connected with this bank,complaint
lalalalalalalalalalalalalalalala22222222,miscellaneous
@BankofNg lallalalalalalala,miscellaneous
0,miscellaneous
7779787879797987897897845645361321321++,miscellaneous
@BankofNg Your Customer service is pathetic. Can you tell by when will I get my claim against my Health Insurance Policy - YRU98769IO,complaint
@BankofNg 1041010101010101010121312141516144181,miscellaneous
@bankofng i need to know about all your health policies.,inquiry
@BankofNg  mobile number updated automatically,miscellaneous
Hello iwant to know about loan activity,inquiry
@BankofNg pls share list of health policies for senior citizens. 9811434439,inquiry
@BankofNg My number is 971500339809 why claim of policy number ER54647IU not cleared yet,complaint
DigitalSense  same tell to me also would like to ask that i have applied this offer but didnt received any banefit,inquiry
@BankofNg pls tell claim status of policy no YH980099 971500332323,inquiry
@BankofNg Hi I want to know about loan activities,inquiry
@BankofNg Very Nice service,compliment
DigitalSense  same tell to me also would like to ask that i have applied this offer but didnt received any banefit,inquiry
Please update policy claim status 971599887788,complaint
@BankofNg Thanks for your support,compliment
@BankofNg why claim of policy number WEER54647IU not cleared yet.  971599887781,complaint
Please tell me about car loan,inquiry
"@BankofNg Meaning - Peace be upon you, we are pleased with your positive evaluation to us as your satisfaction is our goal and we are always looking forward to serving you. Thank you for choosing Emirates Development Bank. Please.",compliment
hello i want to know about the insurance policies and loan process,inquiry
Contact me on 971533365579 for loan and services,inquiry
Please let me know about my exisiting loans and new loan faCiities,inquiry
Good job. Keep it up :)  971599887788,compliment
tttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt,miscellaneous
@BankofNg Your claim process was really wonderful  Thanks 971500332323,compliment
@BankofNg Why claim of Policy HY4785959 not done? Its really pathetic!!  Thanks 971500332323,complaint
@BankOfNg I need a home loan . Can you please assist me with the same...,inquiry
Please provide details for this loan product,inquiry
"Hello,  Please share which all policies you have for senior citizens  Thanks 971599887788",inquiry
Please provide the loan details again,inquiry
"@BankofNg  Hello,  Please share which all policies you have for senior citizens  Thanks 971599887788",inquiry
need loan and a new credit card as I lost the previous one,inquiry
me too want a loan,inquiry
@BankofNg   Staus of my claim KJ785859  Thanks Sushil 971599887788,compliment
HiI need details on Group Policy ThanksSushil971599887788,inquiry
"971599887999      On Monday, 27 January, 2020, 08:01:25 pm IST, digitalsensingbank@gmail.com <digitalsensingbank@gmail.com> wrote:      Hello,  Please share your mobile number for tracking purposes.  Kind regards,  Emirates Development Bank",compliment
"Please share progress on Claim number KJL85950     Thanks, Sushil     971599887788   Disclaimer :- This e-mail and any attachment may contain confidential, proprietary or legally privileged information. If you are not the original intended recipient and have erroneously received this message, you are prohibited from using, copying, altering or disclosing the content of this message. Please delete it immediately and notify the sender. Newgen Software Technologies Ltd (NSTL)  accepts no responsibilities for loss or damage arising from the use of the information transmitted by this email including damages from virus and further acknowledges that no binding nature of the message shall be implied or assumed unless the sender does so expressly with due authority of NSTL.",inquiry
Please provide details about home loan product,inquiry
@BankofNg Lalalallewllelelelelrlrlrllrlrlelelele,miscellaneous
@BankofNg okokokokokokok,miscellaneous
Need loan for project financing,inquiry
what are the movable assets ?,inquiry
Need loan for start up finance,inquiry
@BankofNg need to know about loan and insurance both policies and terms conditions,inquiry
@BankofNg  bank is a fraud and people are getting impacted with their services,complaint
"971590789567  On Tue, Jan 28, 2020 at 3:49 PM <digitalsensingbank@gmail.com> wrote:  > Hello, > > Please share your mobile number for tracking purposes. > > Kind regards, > > Emirates Development Bank >",complaint
"Please use this number - 971523456639  On Tue, Jan 28, 2020 at 3:50 PM Vaibhav Jain <vaibhav.tech15@gmail.com> wrote:  > 971590789567 > > On Tue, Jan 28, 2020 at 3:49 PM <digitalsensingbank@gmail.com> wrote: > >> Hello, >> >> Please share your mobile number for tracking purposes. >> >> Kind regards, >> >> Emirates Development Bank >> >",inquiry
@BankofNg Heyyy,miscellaneous
@BankofNg Loan loan loan loan loan,inquiry
Please provide any car loan product details,inquiry
